location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,46,68,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,38,69,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,36,70,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,39,70,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,47,69,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,32,68,2024-02-29T00:32:33.343-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,46,68,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,38,69,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,36,70,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,39,70,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,47,69,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,32,68,2024-02-29T00:22:16.068-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,47,68,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,38,69,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,38,70,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,39,70,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,48,69,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,32,68,2024-02-29T00:04:09.678-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,47,68,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,38,69,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,38,70,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,41,71,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,49,69,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,33,68,2024-02-28T23:47:40.420-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,47,68,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,38,69,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,38,70,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,40,70,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,49,69,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,33,68,2024-02-28T23:32:27.188-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,47,68,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,40,69,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,38,70,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,40,70,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,50,69,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,33,68,2024-02-28T23:20:54.421-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,48,68,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,40,69,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,38,70,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,43,68,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,40,70,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,51,69,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,33,68,2024-02-28T23:04:01.413-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,48,68,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Lobby,43,69,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,38,70,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,44,68,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,42,71,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,51,69,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,34,68,2024-02-28T22:47:30.042-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
